enterprise_id,treatment_285,ent_running,Gender,BlockCode,_weight,age_entrepreneur,CIBILscore,NumberofHouseholdmembers,HighestEducation,Religion,Community,MaritalStatus,OwnRentedHouse,TypeofDwelling,CAPBeneficiary,Typeofownership,Existingbusiness,Category_of_enterprise,Vehicle,Water,Equipmentavailability,Skilledlaboravailability,ECP_Score,HouseholdIncome
e_1059,0,1,Male,B022,1,25,750 to 900,3,Secondary - 8th to 10th Standard,Hindu,Others,Unmarried,Own,Pucca House,Yes,Individual/Sole Proprietary,Existing,WHITE,30000,Available,No,Yes,50,700000
e_1060,0,1,Male,B088,,37,650 to 750,1,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,WHITE,80000,Available,Yes,Yes,40,15000
e_1062,0,1,Female,B063,2,49,650 to 750,1,Senior Secondary - 11th to 12th  ,Hindu,BC,Married,Own,Pucca House,Yes,Individual/Sole Proprietary,Existing,GREEN,75000,Available,No,Yes,60,620000
e_1064,0,1,Female,B089,3,27,-1 to 0,2,Graduate,Hindu,BC,Married,Rent,Pucca House,No,Individual/Sole Proprietary,Existing,WHITE,130000,Available,No,Yes,50,920000
e_1065,0,1,Female,B086,,35,550 to 650,3,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,Existing,WHITE,50000,Not Available,No,Yes,55,230000
e_1066,0,0,Female,B074,,39,750 to 900,4,Primary - 1st to 5th Standard,Hindu,MBC/DNC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,Existing,ORANGE,90000,Available,No,Yes,55,360000
e_1070,0,1,Female,B037,7,37,-1 to 0,2,Diploma,Hindu,MBC/DNC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,New,WHITE,50000,Available,No,Yes,40,450000
e_1071,0,1,Female,B088,1,39,750 to 900,1,Graduate,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,1000000,Not Available,Yes,Yes,45,120000
e_1072,0,1,Male,B089,2,27,650 to 750,2,Graduate,Hindu,BC,Unmarried,Rent,Pucca House,Yes,Individual/Sole Proprietary,New,WHITE,90000,Available,No,Yes,50,1070000
e_1073,0,0,Female,B088,2,34,750 to 900,1,Senior Secondary - 11th to 12th  ,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,WHITE,25000,Not Available,No,Yes,45,100000
e_1075,0,1,Male,B113,2,26,750 to 900,3,Diploma,Hindu,BC,Unmarried,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,600000,Available,Yes,Yes,50,740000
e_1076,0,0,Female,B113,,41,650 to 750,3,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,New,GREEN,80000,Available,Yes,Yes,50,200000
e_1078,0,1,Female,B058,1,44,650 to 750,3,Secondary - 8th to 10th Standard,Hindu,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,100000,Available,Yes,Yes,50,40000
