"id","personid","pred_outS"
"e_1326","e_1326","0.321569714154025"
"e_1327","e_1327","0.411054046578342"
"e_1328","e_1328","0.37152429666852"
"e_1334","e_1334","0.426884047266878"
"e_1337","e_1337","0.29987133091509"
"e_1339","e_1339","0.31203923389974"
"e_1348","e_1348","0.374890653224521"
"e_1350","e_1350","0.379929753061066"
"e_1351","e_1351","0.432380394083339"
"e_1352","e_1352","0.442100404111496"
"e_136","e_136","0.467756044814699"
"e_1360","e_1360","0.431442195539776"
"e_1364","e_1364","0.45230952118195"
"e_137","e_137","0.417691964222182"
"e_1376","e_1376","0.43852986918964"
"e_1384","e_1384","0.469535233135656"
"e_139","e_139","0.352835382493127"
"e_1394","e_1394","0.285343976315066"
"e_14","e_14","0.465160064479782"
"e_1403","e_1403","0.460483155660101"
"e_1412","e_1412","0.309417237216474"
"e_1421","e_1421","0.36358075531754"
"e_1426","e_1426","0.424943825622567"
"e_1428","e_1428","0.287405318821028"
"e_143","e_143","0.441280737775843"
"e_1432","e_1432","0.425783854212231"
"e_1437","e_1437","0.459634934046689"
"e_1446","e_1446","0.337579295442261"
"e_1448","e_1448","0.432515024938823"
"e_1449","e_1449","0.344497970668586"
"e_1451","e_1451","0.4335132063229"
"e_1454","e_1454","0.425359584883526"
"e_146","e_146","0.273913558565873"
"e_1466","e_1466","0.323215976449069"
"e_1469","e_1469","0.426769776854899"
"e_147","e_147","0.350242266977659"
"e_1472","e_1472","0.454235025838728"
"e_1474","e_1474","0.438263671477914"
"e_1475","e_1475","0.317790739817932"
"e_1476","e_1476","0.442107795882431"
"e_1479","e_1479","0.431461425569114"
"e_1485","e_1485","0.42268037007909"
"e_1490","e_1490","0.445240118513428"
"e_1517","e_1517","0.297024108425572"
"e_1519","e_1519","0.420803476976496"
"e_1537","e_1537","0.456753846349711"
"e_154","e_154","0.303962536768395"
"e_1554","e_1554","0.307133329432388"
"e_1562","e_1562","0.349156489464317"
"e_1563","e_1563","0.411937567218825"
"e_1564","e_1564","0.449448481076373"
"e_1566","e_1566","0.341371557205925"
"e_1568","e_1568","0.316915205046058"
"e_1572","e_1572","0.296859279742284"
"e_1573","e_1573","0.333596073494436"
"e_158","e_158","0.444898348922025"
"e_1582","e_1582","0.342512554866216"
"e_1583","e_1583","0.314184296385797"
"e_1585","e_1585","0.318457569967067"
"e_1600","e_1600","0.344310890314949"
"e_1608","e_1608","0.382483547355412"
"e_1609","e_1609","0.340634506531255"
"e_1613","e_1613","0.30610670104108"
"e_1614","e_1614","0.346958826625539"
"e_1617","e_1617","0.382621294764479"
"e_1622","e_1622","0.366457955575647"
"e_1625","e_1625","0.433531079810508"
"e_1636","e_1636","0.298248568021695"
"e_1644","e_1644","0.431355956726562"
"e_1646","e_1646","0.356990557125282"
"e_1670","e_1670","0.336693671824393"
"e_1671","e_1671","0.457256374465232"
"e_1686","e_1686","0.378866366205176"
"e_1692","e_1692","0.342489735180616"
"e_1695","e_1695","0.447929601863386"
"e_1698","e_1698","0.424727663844468"
"e_1699","e_1699","0.290113522778382"
"e_1700","e_1700","0.469819081940745"
"e_1704","e_1704","0.446175571582678"
"e_1708","e_1708","0.323840011893711"
"e_1715","e_1715","0.360388555055282"
"e_1717","e_1717","0.350851282351741"
"e_1729","e_1729","0.352448402875418"
"e_1737","e_1737","0.361153076875127"
"e_174","e_174","0.4663386076059"
"e_1740","e_1740","0.441494116493418"
"e_1747","e_1747","0.324983848878813"
"e_1761","e_1761","0.32811711687386"
"e_1769","e_1769","0.360828999282103"
"e_1771","e_1771","0.338455248622782"
"e_1782","e_1782","0.399319783245682"
"e_1783","e_1783","0.422058162161728"
"e_1793","e_1793","0.453332405836292"
"e_1798","e_1798","0.320179734550058"
"e_18","e_18","0.346663194421329"
"e_1801","e_1801","0.287721155726757"
"e_1808","e_1808","0.364388273190307"
"e_1809","e_1809","0.344893853425958"
"e_1813","e_1813","0.292570512883244"
"e_1824","e_1824","0.318504662752738"
"e_1831","e_1831","0.287485723038067"
"e_1838","e_1838","0.301726400973751"
"e_1844","e_1844","0.446660118234892"
"e_185","e_185","0.458317744139208"
"e_1867","e_1867","0.453847867984226"
"e_1876","e_1876","0.34850186794521"
"e_1879","e_1879","0.311140380322707"
"e_188","e_188","0.403622887543097"
"e_1880","e_1880","0.339636469129986"
"e_1886","e_1886","0.326571558010201"
"e_1904","e_1904","0.32893762952167"
"e_1912","e_1912","0.282827757967128"
"e_1918","e_1918","0.327364970698212"
"e_192","e_192","0.455100277855098"
"e_1920","e_1920","0.376534183628478"
"e_1925","e_1925","0.457823059938751"
"e_1926","e_1926","0.304130555403784"
"e_1930","e_1930","0.387607344120027"
"e_1937","e_1937","0.314606780667435"
"e_1939","e_1939","0.463431548174738"
"e_1954","e_1954","0.307991008473537"
"e_1955","e_1955","0.357223834692575"
"e_1957","e_1957","0.466530939274229"
"e_1963","e_1963","0.335278518269196"
"e_1964","e_1964","0.444358621127112"
"e_1968","e_1968","0.320718269615692"
"e_197","e_197","0.449926993240454"
"e_1970","e_1970","0.299193930365405"
"e_1971","e_1971","0.318718667799338"
"e_1981","e_1981","0.357551080602038"
"e_1986","e_1986","0.384923791495199"
"e_1987","e_1987","0.472360675185149"
"e_1988","e_1988","0.329766817248056"
"e_1990","e_1990","0.475103595430824"
"e_1995","e_1995","0.29321457347571"
"e_2006","e_2006","0.347235560886564"
"e_2011","e_2011","0.469116263845812"
"e_2018","e_2018","0.283026023628755"
