"id","personid","pred_inS","pred_inS_alt","pred_inS_drop"
"e_1138","e_1138","0.415472964714025","0.413422674728622","0.415472964714025"
"e_1139","e_1139","0.431227992451552","0.434284231368155","0.431227992451552"
"e_114","e_114","0.41751926144671","0.416670627824259","0.41751926144671"
"e_1140","e_1140","0.345341145604585","0.34170336369236","0.345341145604585"
"e_1142","e_1142","0.372353006821766","0.37289329759713","0.372353006821766"
"e_1143","e_1143","0.2999172366573","0.299503335490001","0.2999172366573"
"e_1144","e_1144","0.462291861596371","0.462309039074009","0.462291861596371"
"e_1145","e_1145","0.378856258572591","0.380004407780456","0.378856258572591"
"e_1149","e_1149","0.342034971972431","0.340930391981739","0.342034971972431"
"e_1150","e_1150","0.355624727296906","0.357544992178239","0.355624727296906"
"e_1155","e_1155","0.434470456998573","0.433813399254247","0.434470456998573"
"e_1157","e_1157","0.365138220921151","0.366126942895952","0.365138220921151"
"e_116","e_116","0.341461887474518","0.344730506486598","0.341461887474518"
"e_1160","e_1160","0.405500810572586","0.406797666790857","0.405500810572586"
"e_1162","e_1162","0.334170432439087","0.333199144798574","0.334170432439087"
"e_1165","e_1165","0.386040615496403","0.389464102788408","0.386040615496403"
"e_117","e_117","0.452649467490016","0.455610144082699","0.452649467490016"
"e_1173","e_1173","0.479435041507954","0.481069283822939","0.479435041507954"
"e_1174","e_1174","0.45055679869938","0.451268227704746","0.45055679869938"
"e_1175","e_1175","0.291900462914755","0.290029280623336","0.291900462914755"
"e_1176","e_1176","0.441500062436924","0.445554854807346","0.441500062436924"
"e_1177","e_1177","0.479318680874296","0.477529886096566","0.479318680874296"
"e_1178","e_1178","0.330487668050837","0.337005997651638","0.330487668050837"
"e_118","e_118","0.45961170420651","0.464178938021873","0.45961170420651"
"e_1181","e_1181","0.491338301342208","0.490635905944457","0.491338301342208"
"e_1182","e_1182","0.322237910999233","0.319179140451397","0.322237910999233"
"e_1183","e_1183","0.35977582013653","0.357658783477024","0.35977582013653"
"e_1184","e_1184","0.439911203523336","0.440676726052692","0.439911203523336"
"e_1186","e_1186","0.360313354448968","0.359578203935172","0.360313354448968"
